Month,Year,PRODUCTS,TRADE,"Quantity (000 Metric Tonnes)","Value in Rupees (Crore)","Value in Dollars (Million US dollar)",date_updated
July,2022,MS!,Export,1109.40,9403.22,1179.92,"2023-11-11 04:00:12"
July,2022,Naphtha$,Export,354.59,2168.29,272.99,"2023-11-11 04:00:12"
July,2022,ATF#,Export,582.87,5085.64,639.78,"2023-11-11 04:00:12"
July,2022,SKO,Export,0.96,10.86,1.37,"2023-11-11 04:00:12"
July,2022,HSD,Export,2188.09,19511.17,2451.17,"2023-11-11 04:00:12"
July,2022,LDO,Export,0.12,1.18,0.15,"2023-11-11 04:00:12"
July,2022,"LOBS/ Lube Oil",Export,0.78,13.01,1.64,"2023-11-11 04:00:12"
July,2022,"Fuel Oil",Export,186.18,722.89,90.29,"2023-11-11 04:00:12"
July,2022,Bitumen,Export,0.05,0.25,0.03,"2023-11-11 04:00:12"
July,2022,"Petcoke / CBFS",Export,11.00,35.27,4.41,"2023-11-11 04:00:12"
July,2022,Others%,Export,213.67,1515.66,189.29,"2023-11-11 04:00:12"
July,2022,"TOTAL  PRODUCT EXPORT",Export,4688.98,38776.60,4869.95,"2023-11-11 04:00:12"
July,2022,"NET IMPORT",Export,19674.32,109901.65,13906.15,"2023-11-11 04:00:12"
August,2022,"CRUDE OIL",Import,17637.21,104567.31,13107.36,"2023-11-11 04:00:12"
August,2022,LPG,Import,1573.95,8569.86,1075.18,"2023-11-11 04:00:12"
August,2022,MS,Import,0.00,0.14,0.02,"2023-11-11 04:00:12"
August,2022,Naphtha,Import,89.85,475.25,59.67,"2023-11-11 04:00:12"
August,2022,ATF,Import,,,,"2023-11-11 04:00:12"
August,2022,HSD,Import,7.86,86.04,10.81,"2023-11-11 04:00:12"
August,2022,"LOBS/ Lube oil",Import,165.02,1616.93,203.23,"2023-11-11 04:00:12"
August,2022,"Fuel Oil",Import,702.33,2952.61,370.37,"2023-11-11 04:00:12"
August,2022,Bitumen,Import,64.46,223.25,28.06,"2023-11-11 04:00:12"
August,2022,Petcoke,Import,465.98,1351.02,169.82,"2023-11-11 04:00:12"
August,2022,Others&,Import,139.73,911.76,114.83,"2023-11-11 04:00:12"
August,2022,"PRODUCT IMPORT*",Import,3209.18,16186.85,2032.00,"2023-11-11 04:00:12"
August,2022,"TOTAL IMPORT",Import,20846.39,120754.17,15139.36,"2023-11-11 04:00:12"
August,2022,LPG,Export,39.08,283.96,35.65,"2023-11-11 04:00:12"
August,2022,MS!,Export,1018.40,7315.99,915.64,"2023-11-11 04:00:12"
August,2022,Naphtha$,Export,413.79,2274.91,285.59,"2023-11-11 04:00:12"
August,2022,ATF#,Export,744.93,6365.60,799.78,"2023-11-11 04:00:12"
August,2022,SKO,Export,0.47,4.59,0.58,"2023-11-11 04:00:12"
August,2022,HSD,Export,2365.09,19605.84,2470.62,"2023-11-11 04:00:12"
August,2022,LDO,Export,0.08,0.74,0.09,"2023-11-11 04:00:12"
August,2022,"LOBS/ Lube Oil",Export,0.47,8.03,1.01,"2023-11-11 04:00:12"
August,2022,"Fuel Oil",Export,221.40,1046.97,131.00,"2023-11-11 04:00:12"
August,2022,Bitumen,Export,0.02,0.10,0.01,"2023-11-11 04:00:12"
August,2022,"Petcoke / CBFS",Export,38.50,32.76,4.14,"2023-11-11 04:00:12"
August,2022,Others%,Export,398.13,1768.26,221.89,"2023-11-11 04:00:12"
August,2022,"TOTAL  PRODUCT EXPORT",Export,5240.35,38707.75,4866.02,"2023-11-11 04:00:12"
August,2022,"NET IMPORT",Export,15606.04,82046.41,10273.35,"2023-11-11 04:00:12"
September,2022,"CRUDE OIL",Import,16772.21,95157.74,11827.31,"2023-11-11 04:00:12"
September,2022,LPG,Import,1448.22,7569.74,939.26,"2023-11-11 04:00:12"
September,2022,MS,Import,189.75,1390.81,173.17,"2023-11-11 04:00:12"
September,2022,Naphtha,Import,76.37,355.43,43.99,"2023-11-11 04:00:12"
September,2022,ATF,Import,,,,"2023-11-11 04:00:12"
September,2022,HSD,Import,1.67,14.53,1.81,"2023-11-11 04:00:12"
September,2022,"LOBS/ Lube oil",Import,133.13,1282.39,159.84,"2023-11-11 04:00:12"
September,2022,"Fuel Oil",Import,567.22,2178.97,272.23,"2023-11-11 04:00:12"
September,2022,Bitumen,Import,116.38,394.11,49.10,"2023-11-11 04:00:12"
September,2022,Petcoke,Import,539.09,1020.89,127.24,"2023-11-11 04:00:12"
September,2022,Others&,Import,89.16,646.21,80.55,"2023-11-11 04:00:12"
September,2022,"PRODUCT IMPORT*",Import,3160.99,14853.08,1847.19,"2023-11-11 04:00:12"
September,2022,"TOTAL IMPORT",Import,19933.20,110010.82,13674.49,"2023-11-11 04:00:12"
September,2022,LPG,Export,39.79,266.92,33.38,"2023-11-11 04:00:12"
September,2022,MS!,Export,670.66,4570.71,576.24,"2023-11-11 04:00:12"
September,2022,Naphtha$,Export,467.85,2331.02,290.80,"2023-11-11 04:00:12"
September,2022,ATF#,Export,689.20,5317.84,660.54,"2023-11-11 04:00:12"
September,2022,SKO,Export,0.79,7.45,0.93,"2023-11-11 04:00:12"
September,2022,HSD,Export,2689.17,21040.05,2618.69,"2023-11-11 04:00:12"
September,2022,LDO,Export,0.12,1.00,0.13,"2023-11-11 04:00:12"
September,2022,"LOBS/ Lube Oil",Export,0.73,13.62,1.69,"2023-11-11 04:00:12"
September,2022,"Fuel Oil",Export,155.73,546.32,71.63,"2023-11-11 04:00:12"
September,2022,Bitumen,Export,2.11,10.24,1.26,"2023-11-11 04:00:12"
September,2022,"Petcoke / CBFS",Export,16.50,13.80,1.73,"2023-11-11 04:00:12"
September,2022,Others%,Export,254.49,1225.17,152.61,"2023-11-11 04:00:12"
