Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
24-JAN-2023,9572.45,9576.35,9517.9,9534.45,957914429,33509.27
25-JAN-2023,9518.6,9521.3,9379.05,9393.05,1356815280,38878.77
27-JAN-2023,9382.25,9385.8,9142.4,9202.15,1768868393,64050.79
30-JAN-2023,9157.75,9248.65,9071.55,9189.65,1633099425,59690.11
31-JAN-2023,9222.75,9239.1,9144.1,9222.05,1524023372,55774.3
01-FEB-2023,9297.7,9360.7,9029.45,9172.1,1803922738,65381.95
02-FEB-2023,9115.3,9187.05,9074,9162.1,1495422489,56732.51
03-FEB-2023,9203.55,9255.4,9111.45,9249.8,1440597060,51332.14
06-FEB-2023,9232.1,9237.15,9185.95,9226.6,1720862600,37390.95
07-FEB-2023,9235.3,9249.45,9171.25,9207.3,1268531064,42376.59
08-FEB-2023,9222.75,9299.15,9221.35,9286.7,1285916362,42072.17
09-FEB-2023,9291.5,9304,9241.05,9289,1123709204,40161.71
10-FEB-2023,9263.75,9282.5,9245.9,9274.35,1112718297,34866.97
13-FEB-2023,9269.4,9278.25,9187.9,9205.95,994202565,35342.36
14-FEB-2023,9230.3,9271.65,9199.5,9260.7,881200577,33871.27
15-FEB-2023,9241.1,9315.85,9228.5,9306.65,720791613,34557.28
16-FEB-2023,9343.65,9367.2,9312.3,9327.8,843937738,36788.53
17-FEB-2023,9296.45,9321.8,9249.4,9275.45,804242330,29898.59
20-FEB-2023,9285.6,9299.8,9221,9233.55,1009718628,27958.52
21-FEB-2023,9262,9269.7,9206.05,9218.95,972115634,29417.55
22-FEB-2023,9180.85,9185.85,9066.7,9082.65,929825026,30946.22
23-FEB-2023,9090,9106,9019.4,9058.7,1217409806,34246.98
24-FEB-2023,9094.6,9104.45,9014.5,9036.15,972344144,29052.79
27-FEB-2023,9016.05,9021.95,8936.2,8988.8,934437205,29062.45
28-FEB-2023,8986.4,9010.6,8939.55,8964.55,1515987044,54835.28
01-MAR-2023,8990.35,9059.95,8985.45,9053.3,1157342447,33152.26
02-MAR-2023,9044.4,9052.8,8991.95,8999.9,1026419562,34125.19
03-MAR-2023,9064.65,9149.05,9056.85,9124.95,1262559670,38981.53
06-MAR-2023,9171.2,9228.45,9167.55,9190.05,1108850636,40209.79
08-MAR-2023,9166.05,9223.45,9134.65,9217.55,899285392,37822.71
09-MAR-2023,9232.15,9235.25,9131.25,9140.4,839087319,33969.55
10-MAR-2023,9070.4,9073.5,9007.05,9061.15,801965350,31533.25
13-MAR-2023,9063.7,9112.85,8904.6,8924.7,1358725696,36626.55
14-MAR-2023,8928.5,8955.35,8835.6,8868.3,1074338522,41236.04
15-MAR-2023,8929.65,8951.4,8826.05,8840.9,910416166,35650.22
16-MAR-2023,8847.35,8890.6,8767.65,8854.3,1656016226,41864.38
17-MAR-2023,8921.15,8938.55,8849.65,8909.3,1781999285,50982.97
20-MAR-2023,8888.8,8889.35,8767.55,8846.2,1161749430,35769.16
21-MAR-2023,8884.15,8916.8,8857.95,8906.65,935783036,34784.41
22-MAR-2023,8943.7,8960.45,8917.05,8935.3,979715992,28274.48
23-MAR-2023,8911.2,8956.65,8887.6,8899.4,813082705,32391.94
24-MAR-2023,8903.3,8918.75,8814.25,8828.1,955672848,34266.96
27-MAR-2023,8846.15,8885.5,8809.45,8830.6,944858681,32135.22
28-MAR-2023,8849,8855.5,8780.35,8802.05,934364875,33183.5
29-MAR-2023,8806.85,8896.55,8806.85,8875.6,1207846236,44846.47
31-MAR-2023,8937.95,9019.45,8934.8,9007.9,1120394270,41215.24
03-APR-2023,9046.25,9046.25,8990.5,9030.65,904291651,32341.03
05-APR-2023,9041.05,9104.85,9034.5,9098.35,931596395,37682.05
06-APR-2023,9090.55,9142.65,9072.35,9124.5,909826081,38320.74
10-APR-2023,9146.45,9173.35,9130.1,9143.45,826360649,33865.9
11-APR-2023,9184.15,9208.55,9158.35,9192.55,870021278,38462.66
12-APR-2023,9214.35,9245.5,9194,9239.65,812293356,37699.42
,,,,,871219806,41297.2
17-APR-2023,9257.6,9257.6,9139.8,9208.85,926356223,49378.23
18-APR-2023,9237.9,9237.9,9173.1,9203.2,1185106264,38953.82
19-APR-2023,9204.3,9206.8,9160.6,9176.85,1041795396,35758.28
20-APR-2023,9188.6,9206.95,9161.35,9179.2,745011038,31948.35
21-APR-2023,9188.75,9195.1,9136.45,9171.85,1117000117,31198.04
